400674817	2014-08-28T10:45:50.233-06:00	96850	WPX ENERGY ROCKY MOUNTAIN LLC	1001 17TH STREET - SUITE #1200	DENVER	CO	80202	970	6832295	Karolina Blaney	2014-08-28T10:45:50.233-06:00	karolina.blaney@wpxenergy.com	400674817	WELL PAD	RIO BLANCO	N	NON-CROP LAND	wet, muddy	A contractor was setting an additional mud storage tank inside an earthen SPCC containment berm. During the tank placement, a valve got knocked off of another tank that was already in place which resulted in a drilling mud spill. Approximately 300 bbls of mud was spilled; all contained inside a berm. None of the fluids left the location. Spilled mud was recovered with vacuum trucks and placed back into tanks for reuse.	2014-08-28T00:00:00-06:00	40.024575	-108.432927	
400673092	2014-08-27T15:58:17.877-06:00	47120	KERR MCGEE OIL & GAS ONSHORE LP	P O BOX 173779	DENVER	CO	80217-3779	970	336-3500	Phil Hamlin	2014-08-27T15:58:17.877-06:00	phil.hamlin@anadarko.com	400673092	TANK BATTERY	WELD	Y	CROP LAND	70's, cloudy	On August 22, 2014, a historical release was discovered during the replacement of the produced water sump at the Sauer 15-31 production facility. Groundwater was encountered below the former tank location at approximately 2 feet below ground surface (bgs). A groundwater sample (GW01) was collected and submitted to eAnalytics Laboratory in Loveland, Colorado for analysis of benzene, toluene, ethylbenzene, total xylenes (BTEX). Groundwater analytical results received on August 24, 2014 indicate that benzene concentrations are above the applicable COGCC Table 910-1 standards, causing this release to be reportable. Groundwater analytical results are summarized in the attached Table 1 and laboratory analytical reports.	2014-08-24T00:00:00-06:00	40.354995	-104.926782	
400674257	2014-08-27T14:17:37.14-06:00	100322	NOBLE ENERGY INC	1625 BROADWAY STE 2200	DENVER	CO	80202	720	5872026	Jacob Evans	2014-08-27T14:17:37.14-06:00	jevans@nobleenergyinc.com	400674257	WELL PAD	WELD	Y	NON-CROP LAND	partly cloudy 65	Workers transferred 20 bbls of drilling mud through the line, instead of pumping into pits it was pumped onto the pad surface around the rig.  Fluids were contained in cut ditches which surrounded the rig.  Fluids were vacuumed up and the pad will be scraped and sampled by a third party environmental consultant.	2014-08-26T00:00:00-06:00	40.327720	-104.791000	
400673768	2014-08-27T10:08:29.483-06:00	100322	NOBLE ENERGY INC	1625 BROADWAY STE 2200	DENVER	CO	80202	720	5872026	Jacob  Evans	2014-08-27T10:08:29.483-06:00	jevans@nobleenergyinc.com	400673768	WELL	WELD	Y	NON-CROP LAND	Cloudy, Rain	During plugging and abandonment it was discovered that the flow line had developed a leak.  A third party environmental consultant was called to the location to assess the impacts due to the unintentional release.  An excavation is underway to delineate impacts horizontally and vertically.	2014-08-25T00:00:00-06:00	40.702070	-103.843330	
400672734	2014-08-26T10:04:23.72-06:00	10489	AUGUSTUS ENERGY RESOURCES LLC	36695 HWY 385	WRAY	CO	80758	970	332-3585	Loni Davis	2014-08-26T10:04:23.72-06:00	ldavis@augustusenergy.com	400672734	WATER GATHERING SYSTEM/LINE	YUMA	Y	NON-CROP LAND	Warm aprox. 80 degrees and dry	"It appears a gopher chewed a hole in the poly pipe.  A section of 1"" poly pipe aprox. 30' long was replaced with 2"" poly.  There is livestock in the area, but no water is on surface, so we do not feel it will affect the cattle.  Since there was no surface water there was nothing to recover.  Landowner found the leak and called us.  The leak area is approx. 12' wide and 120' long.  There is good tall grass around location so the area should not blow.  We will treat with pelleted agricultural gypsum and monitor the location for re-growth, erosion and apply more treatments if necessary."	2014-08-24T00:00:00-06:00	40.082290	-102.550510	
400671956	2014-08-25T11:21:59.47-06:00	10244	BLACK DIAMOND MINERALS LLC	1301 MCKINNEY ST STE 2100	HOUSTON	TX	77010	307	382-6738	Mary C. Griggs	2014-08-25T11:21:59.47-06:00	dmartin@memorialrd.com	400671956	WELL PAD	GARFIELD	N	NON-CROP LAND	Sunny, 50 degrees	Oil tank overflowed due to equipment malfunction on the separator.  All fluids were contained within the lined metal berm tank containment.  Fluids are being recovered. There has been no release outside of the metal berm and no additional cleanup will be needed.	2014-08-24T00:00:00-06:00	39.404769	-107.832810	100 bbls of produced water and 68 bbls of produced condensate
400671771	2014-08-24T22:35:59.53-06:00	96155	WHITING OIL AND GAS CORPORATION	1700 BROADWAY  STE 2300	DENVER	CO	80290	432	6616647	Kyle  Waggoner	2014-08-24T22:35:59.53-06:00	kyle.waggoner@whiting.com	400671771	WELL	WELD	N	NON-CROP LAND	sunny 80 degrees	The fitting on the flange failed on the wellhead resulting in the loss of an estimated 15 bbls of crude oil and 60 bbls of produced water. The fitting was replaced stopping the release.  All liquids were contained within the well pad berms and vacuum trucks are recovering the crude oil and produced water.  Impacted soils greater than table 910-1 will be removed and disposed.	2014-08-24T00:00:00-06:00	40.816141	-103.820369	Estimated 15 bbls of crude oil and 60 bbls of produced water released
400671769	2014-08-24T22:10:30.767-06:00	96155	WHITING OIL AND GAS CORPORATION	1700 BROADWAY  STE 2300	DENVER	CO	80290	432	6616647	Kyle Waggoner	2014-08-24T22:10:30.767-06:00	kyle.waggoner@whiting.com	400671769	TANK BATTERY	WELD	Y	NON-CROP LAND	sunny	The flowline from the Nelson Ranches A7 was being replaced and historical staining was observed inside the tank battery on the flowline.  Due to the volume of impacted soil it is estimated that 7 bbls of crude oil were released.  The impacted soil has been excavated and taken to the Waste Management for disposal.  Sidewall confirmation samples have been collected to determine if the excavation limits meet Table 910-1 limits.	2014-08-22T00:00:00-06:00	40.827372	-103.895316	
400671605	2014-08-23T11:36:40.517-06:00	100264	XTO ENERGY INC	382 CR 3100	AZTEC	NM	87410	970	675-4122	Jessica Dooling	2014-08-23T11:36:40.517-06:00	jessica_dooling@xtoenergy.com	400671605	WATER GATHERING SYSTEM/LINE	RIO BLANCO	Y	NON-CROP LAND	Overcast, calm, ~60F	At ~4:00 PM on August 22, 2014 a produced water leak was discovered on the Produced Water Distribution and Disposal (PWDD) line to the PCU T335X-11G location.  The line was isolated and the affected section drained.  Approximate spill volume 1.7 bbls, approximately 0.5 bbls free liquids were removed.  Delineation and remediation are in process.	2014-08-22T00:00:00-06:00	39.892360	-108.251020	
400671630	2014-08-23T09:45:13.267-06:00	100322	NOBLE ENERGY INC	1625 BROADWAY STE 2200	DENVER	CO	80202	720	5872026	Jacob Evans	2014-08-23T09:45:13.267-06:00	jevans@nobleenergy.com	400671630	FLOWLINE	WELD	Y	NON-CROP LAND	85 sunny	While uncovering the flow line running from the condensate tank to the separator, it was determined that a leak had occurred.  The production equipment was shut in and a third party environmental consultant was called to evaluate site conditions. Alles 31-2 location.	2014-08-21T00:00:00-06:00	40.362218	-104.472400	
400671627	2014-08-23T09:26:28.687-06:00	100322	NOBLE ENERGY INC	1625 BROADWAY STE 2200	DENVER	CO	80202	720	5872026	Jacob Evans	2014-08-23T09:26:28.687-06:00	jevans@nobleenergyinc.com	400671627	TANK BATTERY	WELD	Y	NON-CROP LAND	sunny 80	During operational maintenance it was discovered that the water vault and produced water flow line was leaking.  A third party environmental consultant was notified by Noble Energy to conduct site assessment activities.  Mobile Premix 2-35 location.	2014-08-22T00:00:00-06:00	40.450191	-104.746922	
400671609	2014-08-22T20:50:25.733-06:00	8960	BONANZA CREEK ENERGY OPERATING COMPANY LLC	410 17TH STREET  SUITE #1400	DENVER	CO	80202	720	225-6653	Brian Dodek	2014-08-22T20:50:25.733-06:00	bdodek@bonanzacrk.com	400671609	WELL	WELD	Y	NON-CROP LAND	67 degrees, Rain	During well completion operations a transfer line failed resulting in a release of flush water.  The release was contained to the well pad.	2014-08-19T00:00:00-06:00	40.411940	-104.222730	Flush water for well completion operations
400671581	2014-08-22T16:55:41.78-06:00	16700	CHEVRON PRODUCTION COMPANY	100 CHEVRON RD	RANGELY	CO	81648	970	675-3814	Ross Alire	2014-08-22T16:55:41.78-06:00	vali@chevron.com	400671581	OTHER	RIO BLANCO	N	NON-CROP LAND	70F	Thursday (08-21-2014) at approximately 11:50AM  a Water Injection leak  from a backflow Tank on location FEE 91X. API 05-103-07573.LAT LONG ( 40.11409162,. 108.8388857).   Appox 15 BBLs of produced water was released and .5 bbls Oil. The Backflow was shut down immediately upon detection.  Vacuum truck removed all of the free fluid; estimated recovery was approximately 15 BBLs and all impacted soil was taken to the landfarm for remediation. All fluids were contained within the Well Berm.	2014-08-21T00:00:00-06:00	40.114091	-108.838957	15 bbls injection water and .5 bbl Oil  from leak in backflow tank floor
